h,latitude_deg,season,w,r_g_per_kg,T,P,rho,a
2000,60,winter,1.0,0.9099999999999999,254.142,77602.59,1.0631546819454787,319.5827168925128
3000,60,winter,0.0,0.0,250.137,67764.58,0.9437625156189102,317.05458010475104
3000,60,winter,0.25,0.1625,250.137,67764.58,0.9436684138421795,317.05458010475104
3000,60,winter,0.5,0.325,250.137,67764.58,0.943574312065449,317.05458010475104
3000,60,winter,0.75,0.48750000000000004,250.137,67764.58,0.9434802102887182,317.05458010475104
3000,60,winter,1.0,0.65,250.137,67764.58,0.9433861085119876,317.05458010475104
4000,60,winter,0.0,0.0,244.636,59022.22,0.8404910311563144,313.54887464508624
4000,60,winter,0.25,0.105,244.636,59022.22,0.8404546971643705,313.54887464508624
4000,60,winter,0.5,0.21,244.636,59022.22,0.8404183631724265,313.54887464508624
4000,60,winter,0.75,0.315,244.636,59022.22,0.8403820291804825,313.54887464508624
4000,60,winter,1.0,0.42,244.636,59022.22,0.8403456951885385,313.54887464508624
5000,60,winter,0.0,0.0,239.137,51248.74,0.7465765173163253,310.00482345505526
5000,60,winter,0.25,0.0675,239.137,51248.74,0.7465448544098736,310.00482345505526
5000,60,winter,0.5,0.135,239.137,51248.74,0.7465131915034219,310.00482345505526
5000,60,winter,0.75,0.2025,239.137,51248.74,0.7464815285969703,310.00482345505526
5000,60,winter,1.0,0.27,239.137,51248.74,0.7464498656905185,310.00482345505526
6000,60,winter,0.0,0.0,233.639,44355.17,0.6613583167910241,306.42044026761664
6000,60,winter,0.25,0.0475,233.639,44355.17,0.6613385901829847,306.42044026761664
6000,60,winter,0.5,0.095,233.639,44355.17,0.6613188635749451,306.42044026761664
6000,60,winter,0.75,0.14250000000000002,233.639,44355.17,0.6612991369669057,306.42044026761664
6000,60,winter,1.0,0.19,233.639,44355.17,0.6612794103588662,306.42044026761664
7000,60,winter,0.0,0.0,228.143,38258.79,0.5842005916607332,302.7949563823678
7000,60,winter,0.25,0.03875,228.143,38258.79,0.584186161785687,302.7949563823678
7000,60,winter,0.5,0.0775,228.143,38258.79,0.5841717319106408,302.7949563823678
7000,60,winter,0.75,0.11624999999999999,228.143,38258.79,0.5841573020355946,302.7949563823678
7000,60,winter,1.0,0.155,228.143,38258.79,0.5841428721605484,302.7949563823678
8000,60,winter,0.0,0.0,222.649,32883.18,0.5145066244496109,299.1268773544096
8000,60,winter,0.25,0.04,222.649,32883.18,0.514494056399742,299.1268773544096
8000,60,winter,0.5,0.08,222.649,32883.18,0.5144814883498731,299.1268773544096
8000,60,winter,0.75,0.12,222.649,32883.18,0.514468920300004,299.1268773544096
